PID,start,end,PF
E3QE54_COLGM,43,302,PF12767
L2FX62_COLGN,43,283,PF12767
F0XGS5_GROCL,40,280,PF12767
S3CEW3_OPHP1,40,280,PF12767
U7PM01_SPOS1,40,281,PF12767
G0SED0_CHATD,56,290,PF12767
B2B7Z9_PODAN,43,281,PF12767
F7W436_SORMK,42,281,PF12767
G2QT34_THITE,43,281,PF12767
G4MW59_MAGO7,39,279,PF12767
A0A0C4EE93_MAGP6,41,277,PF12767
Q2UMK4_ASPOR,39,272,PF12767
H6CAK0_EXODN,45,291,PF12767
U1GFD4_ENDPU,45,285,PF12767
K2R5Z2_MACPH,54,286,PF12767
Q0UYW5_PHANO,40,274,PF12767
B2WNI8_PYRTR,40,285,PF12767
E5AF91_LEPMJ,42,289,PF12767
G1XH33_ARTOA,53,281,PF12767
HFI1_SCHPO,17,251,PF12767
Q6CVP9_KLULA,52,305,PF12767
C5DBV1_LACTC,47,307,PF12767
Q755J4_ASHGO,48,306,PF12767
J8PH98_SACAR,56,316,PF12767
Q6FSG9_CANGA,72,323,PF12767
G0VHV6_NAUCC,56,307,PF12767
G0WCC5_NAUDC,77,374,PF12767
H2AWE3_KAZAF,54,315,PF12767
J7RJY3_KAZNA,52,309,PF12767
G8ZN42_TORDC,59,314,PF12767
A7TDM4_VANPO,64,324,PF12767
G8BWG0_TETPH,67,326,PF12767
I2H6W4_TETBL,76,368,PF12767
G8Y6Q4_PICSO,13,246,PF12767
Q6BS49_DEBHA,14,248,PF12767
A5DXD6_LODEL,74,311,PF12767
Q5AEG1_CANAL,48,283,PF12767
Q6CBZ6_YARLI,55,293,PF12767
K0KJ17_WICCF,47,281,PF12767
C4QZA3_KOMPG,61,290,PF12767
W1QJU5_OGAPD,39,272,PF12767
Q5KHJ0_CRYNJ,51,284,PF12767
S2JQB7_MUCC1,29,264,PF12767
A8QAF0_MALGO,17,300,PF12767
A0A0D1CNG8_USTMA,19,293,PF12767
F4RCT5_MELLP,21,283,PF12767
E3KR20_PUCGT,18,282,PF12767
A0A0C4ERN4_PUCT1,18,280,PF12767
M7XRH4_RHOT1,33,309,PF12767
U5HIC7_USTV1,64,371,PF12767
F4NST5_BATDJ,19,248,PF12767
Q54DW3_DICDI,32,273,PF12767
F4QCL1_CAVFA,29,262,PF12767
C1E4M2_MICCC,18,270,PF12767
D5GE69_TUBMM,45,277,PF12767
U4L2I5_PYROM,48,282,PF12767
M2N9U9_BAUCO,35,298,PF12767
N1PLH4_DOTSN,46,310,PF12767
M3AVB3_PSEFD,39,310,PF12767
M3BXB1_SPHMS,39,299,PF12767
L8FMS9_PSED2,41,276,PF12767
K1WYS0_MARBU,40,278,PF12767
A7EIU6_SCLS1,42,280,PF12767
S3CUS7_GLAL2,40,278,PF12767
G0RCS7_HYPJQ,42,286,PF12767
G9N976_HYPVG,42,280,PF12767
J4WFR9_BEAB2,39,274,PF12767
E9DXG1_METAQ,42,280,PF12767
M1WD80_CLAP2,42,280,PF12767
T5AQZ5_OPHSC,42,282,PF12767
C7YRC2_NECH7,42,282,PF12767
F9FS20_FUSOF,42,312,PF12767
N1RNC4_FUSC4,42,294,PF12767
Q82XS5_NITEU,53,327,PF00487
Q024E6_SOLUE,55,326,PF00487
Q1GR35_SPHAL,76,348,PF00487
Q1DBX0_MYXXD,81,322,PF00487
Q5WAZ0_BACSK,51,298,PF00487
Q8P4Z4_XANCP,66,318,PF00487
