PF,num_test,modelDL,modelET,blast,hmm,protenn
PF09847,2,0.0,0.0,0.5,0.5,0.5
PF00389,3,1.0,0.0,1.0,0.6666666666666667,0.0
PF03171,11,1.0,0.8181818181818181,1.0,1.0,0.8181818181818181
PF13532,2,0.0,1.0,1.0,0.5,0.0
PF13563,17,0.4117647058823529,0.2941176470588235,0.8823529411764706,0.7058823529411764,0.05882352941176472
PF12578,2,0.5,0.5,0.0,0.0,0.0
PF00803,2,1.0,0.0,0.0,0.0,0.5
PF03061,19,1.0,0.0,0.8421052631578947,0.6842105263157895,0.26315789473684215
PF13279,13,0.0,0.15384615384615385,0.6923076923076923,0.3846153846153846,0.23076923076923073
PF13622,37,0.0,0.0,0.8918918918918919,0.9459459459459459,0.0
PF12729,7,0.0,0.0,0.0,0.2857142857142857,0.0
PF01812,2,0.0,0.0,0.0,0.0,0.5
PF07694,5,0.0,0.0,0.19999999999999996,0.4,0.19999999999999996
PF07698,2,0.0,0.0,0.5,1.0,0.0
PF07696,11,0.0,0.0,0.18181818181818177,0.0,0.0
PF07695,13,0.0,0.0,0.6153846153846154,0.23076923076923073,0.0
PF07697,13,0.0,0.0,0.0,0.07692307692307687,0.0
PF00001,7,0.5714285714285714,0.0,0.4285714285714286,0.4285714285714286,0.0
PF00003,32,0.0,0.0,0.0,0.3125,0.0
PF02949,7,0.0,0.0,0.0,0.0,0.0
PF08395,13,0.07692307692307687,0.07692307692307687,0.23076923076923073,0.23076923076923073,0.0
PF10317,1,0.0,0.0,0.0,0.0,0.0
PF10318,5,0.0,0.0,0.0,0.4,0.0
PF10327,6,1.0,0.0,0.0,0.0,0.0
PF10320,5,0.0,0.0,0.0,0.0,0.0
PF10323,5,1.0,0.6,0.0,0.19999999999999996,0.0
PF10328,3,0.0,0.0,0.0,0.33333333333333337,0.0
PF17028,2,0.0,1.0,0.0,0.5,1.0
PF13166,3,0.0,0.0,0.0,1.0,0.0
PF13175,7,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,0.0
PF13191,10,0.6,0.4,1.0,0.9,0.0
PF13238,9,0.8888888888888888,0.5555555555555556,0.8888888888888888,1.0,0.5555555555555556
PF13304,14,0.2142857142857143,0.1428571428571429,0.2142857142857143,0.9285714285714286,0.0
PF13401,9,0.33333333333333337,0.4444444444444444,0.6666666666666667,1.0,0.0
PF13476,32,0.0,0.0,0.0,0.875,0.0
PF13479,11,0.0,0.0,0.2727272727272727,0.6363636363636364,0.0
PF13481,8,0.0,0.0,0.0,0.375,0.0
PF13500,7,1.0,0.4285714285714286,0.7142857142857143,0.0,0.2857142857142857
PF13521,4,0.0,0.5,0.0,1.0,0.0
PF13671,7,0.1428571428571429,0.1428571428571429,0.7142857142857143,0.5714285714285714,0.0
PF07728,5,0.6,0.0,1.0,1.0,0.19999999999999996
PF05282,1,0.0,0.0,0.0,0.0,0.0
PF03417,3,0.0,0.0,0.6666666666666667,0.0,0.0
PF07247,2,0.0,0.0,0.0,1.0,0.0
PF00696,18,0.0,0.0,0.2777777777777778,0.11111111111111116,0.0
PF00324,3,1.0,0.6666666666666667,0.6666666666666667,1.0,1.0
PF13520,9,0.0,0.2222222222222222,0.11111111111111116,0.6666666666666667,0.0
PF01490,4,0.0,0.0,0.0,0.25,0.0
PF07336,2,0.0,0.0,0.0,0.0,0.0
PF12430,3,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0
PF01061,39,0.33333333333333337,0.0,0.6666666666666667,0.07692307692307687,0.0
PF12679,4,0.5,0.5,0.5,1.0,0.25
PF12698,14,0.0,0.0,0.4285714285714286,0.5,0.0
PF13346,10,0.0,0.0,0.0,0.09999999999999998,0.0
PF06182,2,0.0,0.0,0.0,0.0,0.0
PF09818,1,0.0,0.0,0.0,0.0,1.0
PF16962,6,0.0,0.0,0.0,0.16666666666666663,0.0
PF00664,8,0.0,0.0,0.0,0.125,0.0
PF06472,4,0.0,0.0,0.5,0.25,0.0
PF09822,11,0.0,0.0,0.0,0.4545454545454546,0.09090909090909094
PF03886,1,0.0,0.0,0.0,0.0,0.0
PF18225,1,0.0,0.0,1.0,0.0,0.0
PF00561,5,1.0,0.8,1.0,0.6,0.0
PF02230,2,1.0,0.5,0.0,1.0,0.5
PF12697,76,0.0,0.0,0.14473684210526316,0.9473684210526316,0.0
PF08843,23,0.0,0.0,0.04347826086956519,0.21739130434782605,0.0
PF10899,1,0.0,0.0,0.0,0.0,1.0
PF14253,7,0.0,0.0,0.1428571428571429,0.5714285714285714,0.0
PF18863,17,0.5882352941176471,0.3529411764705882,0.9411764705882353,0.47058823529411764,0.17647058823529416
PF18864,10,0.0,0.0,0.30000000000000004,0.09999999999999998,0.0
PF07751,12,0.0,0.0,0.0,0.25,0.0
PF03992,2,0.0,0.5,0.5,0.0,0.0
PF05820,2,0.0,0.5,0.5,0.5,1.0
PF00583,25,0.96,0.31999999999999995,0.96,0.84,0.0
PF13673,2,1.0,0.5,1.0,1.0,0.0
PF03421,2,0.0,0.0,0.0,0.0,0.0
PF17013,2,0.0,1.0,0.0,0.0,1.0
PF18014,1,0.0,0.0,1.0,0.0,0.0
PF13302,11,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0
PF13420,2,0.0,0.0,1.0,1.0,1.0
PF13480,19,0.42105263157894735,0.0,0.6842105263157895,0.5789473684210527,0.10526315789473684
PF13508,1,0.0,1.0,0.0,1.0,0.0
PF13527,2,0.0,0.0,0.0,0.0,0.0
PF03767,4,0.0,0.0,0.0,0.75,1.0
PF00694,3,0.0,0.0,0.0,0.0,0.6666666666666667
PF01648,4,0.0,0.0,0.5,0.25,0.0
PF09192,2,0.0,1.0,0.0,0.0,1.0
PF01064,1,1.0,1.0,1.0,1.0,0.0
PF13740,2,0.0,0.0,1.0,0.0,0.5
PF18859,1,1.0,1.0,1.0,1.0,1.0
PF14749,1,0.0,0.0,1.0,0.0,0.0
PF01553,1,0.0,1.0,1.0,0.0,0.0
PF01757,10,0.0,0.0,0.5,0.5,0.0
PF01602,3,0.0,0.0,0.6666666666666667,0.33333333333333337,0.0
PF00928,5,0.4,0.0,0.19999999999999996,0.19999999999999996,0.19999999999999996
PF06314,9,0.0,0.0,0.0,0.11111111111111116,0.5555555555555556
PF00107,3,0.0,0.0,0.0,0.6666666666666667,0.0
PF13602,4,0.25,0.25,0.25,0.75,0.0
PF11559,3,0.0,0.0,0.6666666666666667,0.33333333333333337,0.0
PF03496,1,0.0,1.0,1.0,0.0,1.0
PF04587,15,0.0,0.0,0.0,0.1333333333333333,0.0
PF03747,5,0.0,0.0,0.0,1.0,0.0
PF17049,2,0.0,0.0,0.0,0.0,0.0
PF01117,1,1.0,1.0,0.0,0.0,1.0
PF01314,2,0.0,0.0,0.0,0.0,0.0
PF03756,2,0.0,0.0,1.0,0.5,0.5
PF17998,1,0.0,1.0,1.0,0.0,0.0
PF10427,1,1.0,1.0,1.0,0.0,0.0
PF18724,5,1.0,0.0,1.0,0.6,0.8
PF04647,10,0.0,0.0,0.0,0.0,0.0
PF09229,1,0.0,0.0,0.0,0.0,0.0
PF14412,3,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0
PF13911,5,0.0,0.0,0.8,0.4,0.0
PF08327,3,0.0,0.0,0.0,0.0,0.0
PF01594,5,0.0,0.0,0.0,0.19999999999999996,0.0
PF11489,1,0.0,0.0,0.0,0.0,0.0
PF01987,26,0.0,0.0,0.11538461538461542,0.1923076923076923,0.0
PF10592,12,0.0,0.0,0.25,0.08333333333333337,0.33333333333333337
PF02769,14,0.0,0.0,0.7857142857142857,0.0,0.0714285714285714
PF15304,1,0.0,0.0,1.0,0.0,0.0
PF12443,5,1.0,0.6,1.0,0.19999999999999996,1.0
PF01168,11,0.5454545454545454,0.0,0.4545454545454546,0.36363636363636365,0.09090909090909094
PF09135,6,0.0,0.0,1.0,0.16666666666666663,1.0
PF04326,2,0.0,0.0,0.0,0.0,0.0
PF00596,2,0.0,0.0,0.0,0.0,0.0
PF01263,8,0.0,0.0,0.25,0.0,0.125
PF00248,6,0.0,0.0,0.0,0.33333333333333337,0.0
PF13372,4,0.5,0.0,0.25,0.0,0.5
PF05426,9,0.0,0.0,0.5555555555555556,0.11111111111111116,0.11111111111111116
PF08787,3,0.0,0.0,0.33333333333333337,1.0,0.6666666666666667
PF13949,7,0.0,0.0,0.0,0.2857142857142857,0.0
PF14456,2,0.0,0.0,1.0,0.0,0.5
PF02883,4,0.25,0.0,1.0,0.25,0.0
PF02816,2,0.0,0.5,0.0,0.0,0.0
PF17989,5,0.0,0.6,0.4,0.0,0.0
PF15299,3,0.0,0.6666666666666667,0.0,0.33333333333333337,0.33333333333333337
PF07344,3,0.0,0.0,0.6666666666666667,0.0,0.0
PF04709,1,0.0,0.0,1.0,0.0,0.0
PF01425,5,0.0,0.0,0.0,0.0,0.0
PF01510,1,0.0,0.0,0.0,0.0,0.0
PF02274,7,0.0,0.0,1.0,0.0,0.0
PF01979,8,0.375,0.875,0.75,0.5,0.0
PF04909,14,0.0,0.0,0.1428571428571429,0.1428571428571429,0.0
PF07969,7,1.0,1.0,0.8571428571428572,0.4285714285714286,0.0
PF12224,5,0.0,0.0,0.6,0.0,0.0
PF00155,5,0.0,0.0,0.0,0.4,0.0
PF00202,1,0.0,1.0,0.0,0.0,0.0
PF01063,6,0.0,0.16666666666666663,0.0,0.0,0.0
PF00266,3,1.0,0.33333333333333337,0.6666666666666667,0.0,1.0
PF01593,8,0.0,0.0,0.0,1.0,0.0
PF00909,2,0.0,0.0,0.0,0.5,0.5
PF14828,6,0.0,0.0,0.0,0.0,0.0
PF00501,4,0.0,0.0,0.0,0.25,0.0
PF12859,1,1.0,1.0,1.0,1.0,0.0
PF12895,5,0.6,0.4,0.4,0.8,0.0
PF12896,4,0.0,0.0,0.0,0.0,0.0
PF12856,2,1.0,1.0,0.5,0.0,1.0
PF10471,2,0.5,0.5,1.0,0.5,0.0
PF08174,4,0.5,0.25,0.5,0.25,0.25
PF12796,9,0.33333333333333337,0.11111111111111116,0.33333333333333337,0.6666666666666667,0.0
PF13637,6,1.0,0.5,1.0,1.0,0.0
PF13857,3,1.0,1.0,1.0,0.33333333333333337,0.0
PF04547,1,0.0,0.0,0.0,0.0,0.0
PF07651,2,0.0,0.0,0.0,0.5,0.0
PF04715,1,0.0,0.0,0.0,0.0,0.0
PF02522,2,0.0,0.0,0.0,0.0,0.0
PF15001,1,0.0,0.0,0.0,0.0,0.0
PF00847,1,1.0,1.0,1.0,1.0,0.0
PF14807,2,1.0,1.0,0.5,0.0,0.0
PF05841,5,0.0,0.0,0.6,0.19999999999999996,0.0
PF18122,1,1.0,1.0,1.0,0.0,0.0
PF18862,6,0.0,0.0,0.16666666666666663,0.33333333333333337,0.0
PF04108,15,0.0,0.06666666666666665,0.0,0.6,0.0
PF04109,1,0.0,0.0,0.0,0.0,0.0
PF01636,27,0.0,0.0,0.2962962962962963,0.6296296296296297,0.0
PF18771,1,1.0,1.0,1.0,1.0,1.0
PF18774,1,1.0,1.0,1.0,1.0,1.0
PF08210,4,1.0,0.25,1.0,1.0,1.0
PF01442,1,1.0,1.0,0.0,1.0,0.0
PF07464,3,0.0,0.0,0.33333333333333337,0.0,0.0
PF01261,31,0.0,0.0,0.06451612903225812,0.19354838709677424,0.0
PF12489,2,1.0,1.0,1.0,1.0,1.0
PF12625,2,0.0,0.0,0.5,0.5,0.0
PF02311,5,0.0,0.0,0.8,0.8,0.0
